State Code,State Name,Sales Tax Rate,Avg Local Rate,Groceries Taxable,Groceries Rate,Prepared Food Taxable,Prepared Food Rate,Utilities Taxable,Utilities Rate,Services Taxable,Services Rate,Digital Goods Taxable,Digital Goods Rate,Medicine Taxable,Medicine Rate,Streaming Taxable,Streaming Rate,Last Updated
AL,Alabama,0.04,0,TRUE,0.03,TRUE,0.04,TRUE,0.04,FALSE,0,TRUE,0.04,TRUE,0.04,TRUE,0.04,5/12/2025
AK,Alaska,0.0182,0.0176,FALSE,0,TRUE,0.0176,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,5/12/2025
AZ,Arizona,0.056,0.028,FALSE,0,TRUE,0.084,TRUE,0.084,FALSE,0,TRUE,0.084,FALSE,0.056,TRUE,0.084,5/12/2025
AR,Arkansas,0.065,0.0293,TRUE,0.015,TRUE,0.0943,TRUE,0.0943,TRUE,0.0943,TRUE,0.0943,FALSE,0.065,TRUE,0.0943,5/12/2025
CA,California,0.0725,0.0143,FALSE,0,TRUE,0.0868,FALSE,0,FALSE,0,TRUE,0.0868,FALSE,0,TRUE,0.0868,5/12/2025
CO,Colorado,0.029,0.0473,FALSE,0,TRUE,0.0763,TRUE,0.0763,FALSE,0,TRUE,0.0763,FALSE,0.029,TRUE,0.0763,5/12/2025
CT,Connecticut,0.0635,0,FALSE,0,TRUE,0.0635,TRUE,0.0635,TRUE,0.0635,TRUE,0.0635,FALSE,0.0635,TRUE,0.0635,5/12/2025
DE,Delaware,0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,5/12/2025
FL,Florida,0.06,0.0105,FALSE,0,TRUE,0.0705,TRUE,0.0705,FALSE,0,TRUE,0.0705,FALSE,0.06,TRUE,0.0705,5/12/2025
GA,Georgia,0.04,0.0329,TRUE,0.03,TRUE,0.0729,TRUE,0.0729,FALSE,0,TRUE,0.0729,FALSE,0.04,TRUE,0.0729,5/12/2025
HI,Hawaii,0.04,0.044,TRUE,0.04,TRUE,0.0444,TRUE,0.0444,TRUE,0.0444,TRUE,0.0444,FALSE,0.04,TRUE,0.0444,5/12/2025
ID,Idaho,0.06,0.03,TRUE,0.06,TRUE,0.0603,TRUE,0.0603,FALSE,0,TRUE,0.0603,FALSE,0.06,TRUE,0.0603,5/12/2025
IL,Illinois,0.0625,0.0249,TRUE,0.01,TRUE,0.0874,TRUE,0.0874,FALSE,0,TRUE,0.0874,FALSE,0.0625,TRUE,0.0874,5/12/2025
IN,Indiana,0.07,0,TRUE,0.07,TRUE,0.07,TRUE,0.07,FALSE,0,TRUE,0.07,FALSE,0.07,TRUE,0.07,5/12/2025
IA,Iowa,0.07,0.82,FALSE,0,TRUE,0.0682,TRUE,0.0682,TRUE,0.0682,TRUE,0.0682,FALSE,0.07,TRUE,0.0682,5/12/2025
KS,Kansas,0.065,0.0217,TRUE,0.065,TRUE,0.0867,TRUE,0.0867,TRUE,0.0867,TRUE,0.0867,FALSE,0.065,TRUE,0.0867,5/12/2025
KY,Kentucky,0.06,0,FALSE,0,TRUE,0.06,TRUE,0.06,TRUE,0.06,TRUE,0.06,FALSE,0.06,TRUE,0.06,5/12/2025
